,x,y,z,conf
0,67.246796,17.674397,4.15,230.0
1,66.00933,3.4403126,4.15,182.0
2,67.09225,-10.806363,4.15,230.0
3,67.495544,-25.042143,4.15,230.0
4,67.22092,-39.32728,4.15,230.0
5,68.265816,-53.552944,4.15,230.0
6,66.64766,-68.0721,4.15,230.0
7,67.34775,-82.43259,4.15,230.0
8,67.38543,-96.94745,4.15,230.0
9,69.72656,-111.15483,4.15,230.0
10,68.46415,-126.08911,4.15,230.0
11,68.53262,-140.91826,4.15,230.0
12,69.86919,-155.35817,4.15,230.0
13,69.65176,-170.49954,4.15,230.0
14,69.798454,-185.72833,4.15,230.0
15,70.31309,-201.0358,4.15,230.0
16,70.25367,-216.73846,4.15,230.0
17,70.584236,-232.54417,4.15,230.0
18,69.44931,-249.1783,4.15,232.0
19,69.668724,-265.59082,4.15,230.0
20,71.22253,-281.70886,4.15,230.0
21,72.281334,-298.3191,4.15,230.0
22,71.09164,-316.37048,4.15,230.0
23,72.166016,-333.68472,4.15,230.0
24,72.04864,-352.24576,4.15,228.0
25,66.56191,221.35309,12.118,230.0
26,66.53435,205.61436,12.118,230.0
27,65.933586,190.2729,12.118,230.0
28,66.66412,174.7417,12.118,230.0
29,66.79998,159.583,12.118,230.0
30,65.34525,144.96327,12.118,228.0
31,66.18593,129.95663,12.118,230.0
32,66.394485,115.239105,12.118,228.0
33,65.95516,100.75286,12.118,230.0
34,66.83669,86.16975,12.118,230.0
35,66.05089,71.78109,12.118,230.0
36,67.57338,57.110184,12.118,228.0
37,67.43822,42.68009,12.118,230.0
38,67.63174,28.273302,12.118,230.0
39,67.15305,13.919275,12.118,230.0
40,66.00015,-0.44261545,12.118,180.0
41,66.173386,-14.826267,12.118,188.0
42,66.67289,-29.202288,12.118,228.0
43,68.49606,-43.494564,12.118,230.0
44,68.64956,-57.901836,12.118,230.0
45,67.145226,-72.552284,12.118,230.0
46,67.96348,-87.0278,12.118,230.0
47,68.108246,-101.55203,12.118,230.0
48,68.589455,-116.12372,12.118,230.0
49,69.40746,-130.7251,12.118,230.0
50,68.615135,-145.79834,12.118,230.0
51,69.1529,-160.72629,12.118,230.0
52,69.08103,-175.9723,12.118,230.0
53,71.29171,-190.72202,12.118,230.0
54,70.99722,-206.39648,12.118,230.0
55,69.20648,-222.84645,12.118,230.0
56,71.58158,-238.06363,12.118,230.0
57,69.68892,-255.16258,12.118,230.0
58,71.92442,-270.88202,12.118,230.0
59,71.8183,-287.86932,12.118,230.0
60,72.14254,-304.9574,12.118,230.0
61,72.03108,-322.63144,12.118,230.0
62,72.40029,-340.46234,12.118,228.0
63,74.12518,-357.94092,12.118,230.0
64,65.62693,230.64217,23.987,230.0
65,65.36911,214.8107,23.987,228.0
66,65.49963,199.08362,23.987,230.0
67,65.05311,183.7483,23.987,230.0
68,65.93969,168.2365,23.987,230.0
69,66.22795,153.09145,23.987,230.0
70,64.92038,138.46976,23.987,230.0
71,65.9119,123.483955,23.987,230.0
72,65.26732,108.859665,23.987,230.0
73,64.95877,94.268974,23.987,230.0
74,66.96884,79.47047,23.987,230.0
75,66.337006,65.11691,23.987,230.0
76,66.03006,50.77516,23.987,228.0
77,68.04385,36.33776,23.987,230.0
78,67.38666,22.121494,23.987,230.0
79,67.049225,7.8940463,23.987,228.0
80,66.03178,-6.3474026,23.987,228.0
81,66.334694,-20.598114,23.987,228.0
82,67.9564,-34.783463,23.987,230.0
83,67.86008,-48.529537,23.987,230.0
84,67.10768,-62.795822,23.987,230.0
85,66.678154,-77.11961,23.987,230.0
86,68.55312,-91.207664,23.987,228.0
87,66.79624,-105.91033,23.987,230.0
88,68.33011,-120.17551,23.987,230.0
89,70.18577,-134.4248,23.987,230.0
90,69.44401,-149.34238,23.987,230.0
91,68.088524,-164.61131,23.987,230.0
92,69.02647,-179.46698,23.987,230.0
93,68.40304,-194.952,23.987,230.0
94,69.107445,-210.23697,23.987,230.0
95,69.21474,-225.85382,23.987,230.0
96,69.756485,-241.69838,23.987,230.0
97,70.693756,-257.63083,23.987,230.0
98,71.114,-274.04086,23.987,230.0
99,71.048645,-290.9797,23.987,230.0
100,71.429565,-308.05716,23.987,228.0
101,73.150795,-324.8016,23.987,230.0
102,72.677124,-343.06125,23.987,228.0
103,71.8442,-362.00177,23.987,228.0
104,65.133156,223.32285,31.955,230.0
105,66.99593,207.03104,31.955,230.0
106,66.39431,191.80154,31.955,230.0
107,65.19158,176.91602,31.955,230.0
108,65.30496,161.82463,31.955,228.0
109,65.7735,146.82556,31.955,228.0
110,66.59314,131.92706,31.955,232.0
111,66.77639,117.31949,31.955,230.0
112,66.30745,102.94537,31.955,230.0
113,66.1636,88.60819,31.955,230.0
114,66.342964,74.315285,31.955,230.0
115,66.84352,60.073906,31.955,230.0
116,67.64636,45.660484,31.955,230.0
117,66.7927,31.694149,31.955,230.0
118,67.24708,17.684437,31.955,228.0
119,67.01091,3.716102,31.955,228.0
120,67.08306,-10.254044,31.955,228.0
121,67.46349,-24.219194,31.955,230.0
122,67.15385,-38.232853,31.955,230.0
123,66.158516,-52.354263,31.955,228.0
124,68.462814,-66.22527,31.955,230.0
125,67.10212,-80.52499,31.955,230.0
126,68.044365,-94.620674,31.955,230.0
127,69.30096,-108.71393,31.955,230.0
128,67.9827,-123.65324,31.955,230.0
129,70.87858,-137.63081,31.955,230.0
130,70.19588,-152.48201,31.955,230.0
131,69.86431,-167.43063,31.955,230.0
132,68.92733,-182.7465,31.955,230.0
133,69.31618,-197.88612,31.955,230.0
134,70.06796,-213.0977,31.955,230.0
135,70.24612,-228.7139,31.955,230.0
136,69.8772,-244.78818,31.955,230.0
137,71.76192,-260.22473,31.955,232.0
138,70.362465,-277.3095,31.955,230.0
139,72.13332,-293.31287,31.955,230.0
140,72.459496,-310.14984,35.939,228.0
141,72.3962,-327.68503,35.939,230.0
142,73.68135,-344.8912,35.939,230.0
143,65.520874,230.35025,43.824,230.0
144,65.328224,214.68987,43.824,230.0
145,65.515434,199.13396,43.824,230.0
146,65.11729,183.96994,43.824,230.0
147,66.05729,168.67911,43.824,230.0
148,66.37886,153.71483,43.824,230.0
149,67.0502,138.84723,43.824,230.0
150,65.12342,124.662445,43.824,230.0
151,65.484474,110.11833,43.824,230.0
152,65.18797,95.80025,43.824,230.0
153,67.197105,81.268036,43.824,230.0
154,66.55323,67.1877,43.824,230.0
155,66.22211,53.11855,43.824,230.0
156,67.201035,39.00599,43.824,230.0
157,64.49629,25.120493,43.824,228.0
158,66.09656,11.064826,43.824,230.0
159,66.00704,-2.9876435,43.824,202.0
160,67.22675,-16.94149,43.824,230.0
161,67.75424,-30.89181,43.824,228.0
162,67.59177,-44.89792,43.824,228.0
163,68.73569,-58.83339,43.824,228.0
164,67.20646,-73.08444,43.824,230.0
165,67.981445,-87.158165,43.824,230.0
166,68.08249,-101.39162,43.824,230.0
167,68.50487,-115.66285,43.824,228.0
168,67.291435,-130.36821,43.824,230.0
169,68.37082,-144.73622,43.824,230.0
170,68.80755,-159.36464,43.824,230.0
171,68.57826,-174.15967,43.824,230.0
172,69.70782,-188.93321,43.824,230.0
173,70.23202,-204.04971,43.824,230.0
174,70.17409,-219.56392,43.824,230.0
175,70.49657,-235.17957,43.824,230.0
176,70.27509,-251.25792,43.824,230.0
177,70.459526,-267.45987,43.824,230.0
178,71.055176,-283.77527,43.824,230.0
179,72.96933,-299.76248,43.824,230.0
180,71.7153,-317.6072,43.824,230.0
181,72.71218,-334.7103,43.824,230.0
182,72.417854,-352.90317,43.824,230.0
183,65.221794,223.57466,51.792,228.0
184,66.14424,207.64363,51.792,230.0
185,66.50092,192.15338,51.792,230.0
186,67.23023,176.78073,51.792,230.0
187,65.42067,162.27777,51.792,230.0
188,65.89018,147.32866,51.792,230.0
189,65.74023,132.73485,55.693,230.0
190,64.93157,118.33887,55.693,230.0
191,66.42218,103.649124,55.693,230.0
192,66.269485,89.3624,55.693,230.0
193,66.437805,75.119545,55.693,230.0
194,65.92972,61.023563,55.693,230.0
195,65.7347,46.94179,55.693,230.0
196,66.85055,32.82939,55.693,230.0
197,66.28024,18.84862,55.693,230.0
198,66.018616,4.8586636,55.693,188.0
199,66.065796,-9.133658,55.693,228.0
200,66.42175,-23.12153,55.693,184.0
201,67.083374,-37.04793,55.693,230.0
202,68.05512,-51.00655,55.693,230.0
203,68.339935,-65.042755,55.693,230.0
204,66.95247,-79.33989,55.693,230.0
205,68.85757,-93.2911,55.693,228.0
206,69.098526,-107.532906,55.693,230.0
207,68.67978,-121.99909,55.693,230.0
208,69.571075,-136.3245,55.693,230.0
209,69.81559,-150.90266,55.693,230.0
210,68.46364,-166.04465,55.693,230.0
211,69.39799,-180.76808,55.693,230.0
212,68.76604,-196.12416,55.693,230.0
213,69.4016,-211.11766,55.693,230.0
214,70.428604,-226.27606,55.693,232.0
215,69.95227,-242.2083,55.693,230.0
216,70.80009,-257.89044,55.693,230.0
217,71.11835,-274.05084,55.693,230.0
218,70.93788,-290.74017,55.693,230.0
219,72.088554,-307.129,55.693,230.0
220,72.76987,-324.06537,55.693,230.0
221,73.01715,-341.597,55.693,230.0
222,74.6028,-358.77478,55.693,228.0
223,64.48491,224.4918,63.661,228.0
224,64.458755,208.92181,63.661,230.0
225,64.807625,193.45967,63.661,230.0
226,66.48954,177.84402,63.661,230.0
227,65.64269,163.14352,63.661,230.0
228,66.10827,148.26419,63.661,230.0
229,65.941025,133.69073,63.661,228.0
230,67.08948,118.99695,63.661,230.0
231,66.60238,104.74472,63.661,230.0
232,67.40635,90.25671,63.661,230.0
233,66.54693,76.03424,63.661,230.0
234,67.00198,61.721252,63.661,228.0
235,67.77935,47.466293,63.661,230.0
236,67.87805,33.329254,63.661,230.0
237,67.292786,19.250568,63.661,230.0
238,67.02105,5.162341,63.661,230.0
239,66.06307,-8.942549,63.661,196.0
240,67.418526,-23.014803,63.661,230.0
241,68.08755,-37.08976,63.661,230.0
242,68.07296,-51.227135,63.661,230.0
243,67.380424,-65.486465,63.661,230.0
244,66.98904,-79.63117,63.661,230.0
245,68.90353,-93.601524,63.661,230.0
246,67.183525,-108.2003,63.661,230.0
247,67.76589,-122.53994,63.661,230.0
248,70.6285,-136.48265,63.661,228.0
249,69.909096,-151.29259,63.661,230.0
250,69.53876,-166.20055,63.661,230.0
251,68.56037,-181.47449,63.661,232.0
