,x,y,z,conf
0,-219.424,1,-638.34,232.0
1,-235.572,1,-637.892,230.0
2,-252.914,1,-639.827,230.0
3,-268.91,1,-637.614,230.0
4,-286.162,1,-637.74,230.0
5,-302.697,1,-635.603,230.0
6,-321.082,1,-636.612,232.0
7,-338.725,1,-635.346,230.0
8,-357.456,1,-635.348,230.0
9,-377.378,1,-636.542,230.0
10,-395.417,1,-633.762,228.0
11,-415.717,1,-633.832,230.0
12,-436.119,1,-633.373,230.0
13,-457.91,1,-633.911,230.0
14,-481.15,1,-635.377,222.0
15,386.391,4,-642.808,230.0
16,366.752,5,-642.723,230.0
17,347.369,5,-642.055,230.0
18,329.573,5,-643.514,230.0
19,310.585,5,-641.799,230.0
20,293.505,5,-643.198,230.0
21,275.732,5,-642.318,230.0
22,258.899,5,-642.822,230.0
23,242.185,5,-642.896,230.0
24,225.269,5,-641.603,230.0
25,208.847,5,-640.827,230.0
26,193.153,5,-641.554,230.0
27,177.266,5,-640.938,230.0
28,161.701,5,-640.916,230.0
29,146.228,5,-640.52,232.0
30,131.258,5,-641.714,230.0
31,115.953,5,-640.59,230.0
32,101.234,5,-642.068,230.0
33,86.241,5,-641.226,232.0
34,71.561,5,-642.024,230.0
35,56.8,5,-641.49,228.0
36,42.101,5,-640.618,230.0
37,27.556,5,-641.408,230.0
38,12.997,5,-641.868,228.0
39,-1.564,5,-639.998,228.0
40,-16.195,5,-639.795,230.0
41,-30.771,5,-641.262,230.0
42,-45.282,5,-640.401,228.0
43,-59.768,5,-639.212,230.0
44,-74.572,5,-640.675,230.0
45,-89.195,5,-639.813,230.0
46,-103.979,5,-639.603,230.0
47,-118.981,5,-640.035,230.0
48,-134.26,5,-641.092,230.0
49,-149.194,5,-639.836,230.0
50,-164.638,5,-640.168,230.0
51,-180.173,5,-640.127,230.0
52,-195.012,6,-637.855,230.0
53,-210.638,6,-637.081,230.0
54,-227.335,6,-638.751,232.0
55,-243.857,6,-639.054,230.0
56,-260.13,6,-638.007,230.0
57,-276.878,6,-637.467,230.0
58,-293.314,6,-635.584,232.0
59,-311.124,6,-635.976,230.0
60,-330.019,6,-637.661,232.0
61,-347.708,6,-636.179,230.0
62,-366.496,6,-635.954,230.0
63,-384.93,6,-634.345,230.0
64,-404.492,6,-633.948,228.0
65,-424.856,6,-633.772,230.0
66,-445.416,6,-632.994,230.0
67,-467.936,6,-634.019,230.0
68,370.48,11,-642.891,230.0
69,351.524,11,-643.21,230.0
70,332.286,11,-642.117,230.0
71,313.72,11,-641.386,230.0
72,296.615,11,-642.871,230.0
73,278.809,11,-642.079,232.0
74,261.569,11,-641.74,230.0
75,245.201,11,-642.822,230.0
76,227.914,11,-640.668,232.0
77,211.792,11,-640.913,230.0
78,195.777,11,-640.758,232.0
79,179.614,12,-640.284,230.0
80,164.504,12,-642.267,230.0
81,148.946,12,-641.947,230.0
82,133.487,12,-641.254,230.0
83,118.138,12,-640.191,232.0
84,103.065,12,-639.751,232.0
85,88.347,12,-640.94,232.0
86,73.628,12,-641.79,230.0
87,58.917,12,-642.304,228.0
88,44.082,12,-640.485,230.0
89,29.454,12,-640.323,228.0
90,14.901,12,-641.827,230.0
91,0.336,12,-642.0,230.0
92,-14.195,12,-639.843,230.0
93,-28.808,12,-641.353,228.0
94,-43.361,12,-640.534,228.0
95,-57.892,12,-639.384,230.0
96,-72.731,12,-640.886,228.0
97,-87.398,12,-640.061,230.0
98,-102.065,12,-638.899,232.0
99,-117.264,12,-640.352,230.0
100,-131.974,12,-638.504,230.0
101,-147.335,12,-639.241,232.0
102,-162.796,12,-639.607,230.0
103,-178.34,12,-639.602,230.0
104,-193.665,12,-638.265,230.0
105,-209.334,12,-637.511,230.0
106,-225.734,12,-638.258,230.0
107,-241.565,12,-636.716,230.0
108,-258.569,12,-637.563,232.0
109,-274.941,12,-636.126,232.0
110,-292.214,12,-636.09,230.0
111,-310.064,12,-636.494,230.0
112,-327.622,12,-635.523,230.0
113,-346.728,12,-636.714,228.0
114,-364.561,12,-634.759,230.0
115,-383.009,12,-633.17,230.0
116,-403.747,12,-634.423,230.0
117,-424.182,12,-634.223,230.0
118,-444.813,12,-633.417,230.0
119,-465.623,12,-631.997,232.0
120,378.422,18,-641.734,224.0
121,358.852,18,-641.444,230.0
122,340.898,18,-643.252,230.0
123,321.705,18,-641.896,230.0
124,304.035,18,-642.716,230.0
125,286.496,18,-643.068,230.0
126,269.099,18,-642.958,232.0
127,251.492,18,-641.462,230.0
128,235.124,18,-642.318,230.0
129,218.527,18,-641.818,230.0
130,202.375,18,-641.852,230.0
131,186.533,18,-642.469,232.0
132,170.749,18,-642.705,230.0
